public transport,motorized,non-motorized,other,,
transportation,vehicle,walk,infrastructure,,141
transit,road,walking,shipping,,
bus,automobile,bike,truck,,
subway,auto,pedestrian,ferry,,
line,traffic,lane,passenger,,
rail,car,bicycle,freight,,
transport,vehicles,rollerskate,trucking,,
railroad,roads,rollerblade,railway,,
bus,cars,rollerblading,airport,,
buses,automobiles,running,cargo,,
railroads,autos,run,logistics,,
station,congestion,cycle,urban,,
mbta,uber,bicycling,city,,
mta,lyft,cycling,cities,,
Metro,rideshare,jogging,navigation,,
metropolitan,commute,jog,mobility,,
light rail,commuter,cycles,autonomous,,
rapid transit,rides,bicycles,network,,
Monorail,electric scooter,walks,telecommuter,,
Metrorail,scooter,workout,mixed mode,,
streetcars,scooters,exercise,Multimodal,,
streetcar,diesel,walkers,intermodal,,
commuter rail,gasoline,bikers,clean energy,,
Trolley,gas prices,,supply chain,,
BART,route,,riding,,
Muni,highway,,drive,,
Caltrain,roadway,,driver,,
red line,freeway,,driving,,
blue line,Jeep,,drivers,,
green line,Ford,,,,
silver line,,,,,
Railway,Subaru,,,,
cable car,Dodge,,,,
heavy rail,Lincoln,,,,
mass transit,Chevrolet,,,,
mass transportation,Chrysler,,,,
shuttle,Infiniti,,,,
amtrak,Nissan,,,,
,Mazda,,,,
,Hyundai,,,,
,Buick,,,,
,Mitsubishi,,,,
,Fiat,,,,
,Acura,,,,
,Lexus,,,,
,Kia,,,,
,Honda,,,,
,Toyota,,,,
,carpool,,,,
,carpooling,,,,
,engine,,,,
,e-scooter,,,,